Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095
OECD Env-Growth,SSP4_v9_130325,AGO,GDP|PPP per capita,Annual Average Growth [%],6.26,9.043,2.48,2.852,0.27,-0.376,-0.96,-0.7,0.135,1.186,2.081,2.702,3.087,3.274,3.316,3.243,3.107,2.981,2.842,2.742
OECD Env-Growth,SSP5_v9_130325,AGO,GDP|PPP per capita,Annual Average Growth [%],6.26,9.043,2.48,3.812,2.129,2.36,2.504,2.986,3.723,4.398,4.723,4.78,4.632,4.354,4.047,3.743,3.459,3.216,3.003,2.797
OECD Env-Growth,SSP1_v9_130325,ALB,GDP|PPP per capita,Annual Average Growth [%],4.918,4.658,1.693,2.408,2.903,3.274,3.379,3.212,2.936,2.553,2.284,2.097,1.908,1.678,1.557,1.52,1.494,1.49,1.472,1.512
OECD Env-Growth,SSP2_v9_130325,ALB,GDP|PPP per capita,Annual Average Growth [%],4.918,4.658,1.693,2.319,2.43,2.356,2.24,2.234,2.179,2.026,1.934,1.91,1.876,1.82,1.825,1.796,1.715,1.635,1.595,1.557
OECD Env-Growth,SSP3_v9_130325,ALB,GDP|PPP per capita,Annual Average Growth [%],4.918,4.658,1.693,2.206,1.92,1.602,1.327,1.29,1.218,1.036,0.94,0.95,0.99,1.053,1.129,1.077,0.962,0.871,0.848,0.875
OECD Env-Growth,SSP4_v9_130325,ALB,GDP|PPP per capita,Annual Average Growth [%],4.918,4.658,1.694,2.316,2.409,2.51,2.415,2.364,2.275,2.108,2.023,2.006,1.938,1.849,1.82,1.799,1.733,1.691,1.663,1.619
OECD Env-Growth,SSP5_v9_130325,ALB,GDP|PPP per capita,Annual Average Growth [%],4.918,4.658,1.695,2.489,3.369,4.085,4.291,3.971,3.584,3.15,2.881,2.696,2.522,2.257,2.097,2.039,2.032,2.039,2.058,2.096
OECD Env-Growth,SSP1_v9_130325,ARE,GDP|PPP per capita,Annual Average Growth [%],-0.654,-8.728,1.347,1.586,2.005,2.202,1.908,1.583,1.203,0.866,0.809,0.946,0.957,0.933,0.841,0.823,0.792,0.787,0.799,0.818
OECD Env-Growth,SSP2_v9_130325,ARE,GDP|PPP per capita,Annual Average Growth [%],-0.654,-8.728,1.346,1.513,1.678,1.688,1.352,1.169,0.927,0.734,0.757,0.954,1.036,1.086,1.062,1.023,0.955,0.903,0.857,0.822
OECD Env-Growth,SSP3_v9_130325,ARE,GDP|PPP per capita,Annual Average Growth [%],-0.654,-8.728,1.347,1.455,1.682,1.734,1.426,1.028,0.459,-0.056,-0.266,-0.166,-0.119,-0.066,-0.057,-0.075,-0.064,-0.002,0.064,0.135
OECD Env-Growth,SSP4_v9_130325,ARE,GDP|PPP per capita,Annual Average Growth [%],-0.654,-8.728,1.347,1.577,1.977,2.339,2.181,1.797,1.293,0.869,0.702,0.796,0.837,0.884,0.878,0.872,0.836,0.827,0.821,0.81
OECD Env-Growth,SSP5_v9_130325,ARE,GDP|PPP per capita,Annual Average Growth [%],-0.654,-8.728,1.346,1.656,2.339,2.931,2.9,2.554,2.108,1.671,1.472,1.466,1.426,1.381,1.29,1.295,1.309,1.327,1.365,1.404
IIASA GDP,SSP1_v9_130219,ARG,GDP|PPP per capita,Annual Average Growth [%],,,3.592,3.647,2.833,2.327,2.262,2.225,2.07,1.815,1.679,1.64,1.629,1.618,1.588,1.54,1.508,1.46,1.401,1.345
IIASA GDP,SSP2_v9_130219,ARG,GDP|PPP per capita,Annual Average Growth [%],,,3.485,3.251,2.427,2.039,1.805,1.637,1.781,1.814,1.733,1.631,1.579,1.569,1.543,1.5,1.433,1.374,1.319,1.273
IIASA GDP,SSP3_v9_130219,ARG,GDP|PPP per capita,Annual Average Growth [%],,,3.266,2.654,1.734,1.419,1.339,1.237,1.055,0.83,0.729,0.726,0.778,0.83,0.832,0.792,0.75,0.753,0.781,0.824
IIASA GDP,SSP4_v9_130219,ARG,GDP|PPP per capita,Annual Average Growth [%],,,3.259,2.597,1.582,1.18,1.008,0.929,0.814,0.659,0.556,0.538,0.563,0.605,0.614,0.619,0.616,0.626,0.641,0.629
IIASA GDP,SSP5_v9_130219,ARG,GDP|PPP per capita,Annual Average Growth [%],,,3.624,3.786,3.105,2.702,2.707,2.694,2.55,2.425,2.381,2.378,2.342,2.296,2.229,2.147,2.083,2.006,1.921,1.839
OECD Env-Growth,SSP1_v9_130325,ARG,GDP|PPP per capita,Annual Average Growth [%],1.05,5.802,3.552,3.193,3.301,3.295,3.184,2.838,2.452,2.151,1.925,1.753,1.601,1.45,1.287,1.219,1.212,1.203,1.188,1.147
OECD Env-Growth,SSP2_v9_130325,ARG,GDP|PPP per capita,Annual Average Growth [%],1.05,5.802,3.552,3.087,2.816,2.563,2.335,2.07,1.872,1.794,1.748,1.696,1.628,1.563,1.485,1.443,1.395,1.359,1.317,1.267
OECD Env-Growth,SSP3_v9_130325,ARG,GDP|PPP per capita,Annual Average Growth [%],1.05,5.802,3.552,2.971,2.2,1.579,1.132,0.832,0.596,0.543,0.542,0.588,0.65,0.687,0.674,0.621,0.555,0.507,0.47,0.451
OECD Env-Growth,SSP4_v9_130325,ARG,GDP|PPP per capita,Annual Average Growth [%],1.05,5.802,3.552,3.067,2.695,2.505,2.236,1.917,1.653,1.597,1.559,1.518,1.446,1.359,1.272,1.249,1.238,1.245,1.253,1.231
OECD Env-Growth,SSP5_v9_130325,ARG,GDP|PPP per capita,Annual Average Growth [%],1.05,5.802,3.552,3.239,3.704,4.083,4.06,3.548,3.074,2.738,2.512,2.348,2.21,2.062,1.908,1.853,1.858,1.863,1.861,1.829
IIASA GDP,SSP1_v9_130219,ARM,GDP|PPP per capita,Annual Average Growth [%],,,10.697,9.005,7.776,4.922,2.701,1.433,0.894,0.815,0.959,1.154,1.298,1.425,1.536,1.596,1.585,1.502,1.451,1.437
IIASA GDP,SSP2_v9_130219,ARM,GDP|PPP per capita,Annual Average Growth [%],,,10.78,8.792,7.359,4.521,2.548,1.506,1.056,0.894,0.915,1.015,1.121,1.224,1.298,1.319,1.302,1.268,1.249,1.259
IIASA GDP,SSP3_v9_130219,ARM,GDP|PPP per capita,Annual Average Growth [%],,,10.719,8.6,7.103,4.289,2.353,1.316,0.877,0.719,0.705,0.762,0.86,0.961,1.033,1.061,1.07,1.081,1.105,1.13
IIASA GDP,SSP4_v9_130219,ARM,GDP|PPP per capita,Annual Average Growth [%],,,10.753,8.559,6.915,3.954,1.966,0.982,0.612,0.496,0.506,0.579,0.682,0.795,0.898,0.965,1,1.012,1.025,1.059
IIASA GDP,SSP5_v9_130219,ARM,GDP|PPP per capita,Annual Average Growth [%],,,10.765,9.19,8.078,5.289,3.129,1.886,1.48,1.5,1.695,1.878,1.986,2.086,2.177,2.213,2.172,2.056,1.984,1.959
OECD Env-Growth,SSP1_v9_130325,ARM,GDP|PPP per capita,Annual Average Growth [%],12.28,3.651,3.829,3.826,4.262,4.652,4.63,4.111,3.492,2.895,2.462,2.29,2.208,1.894,1.608,1.573,1.534,1.525,1.523,1.434
OECD Env-Growth,SSP2_v9_130325,ARM,GDP|PPP per capita,Annual Average Growth [%],12.28,3.651,3.827,3.683,3.506,3.332,3.088,2.843,2.533,2.245,2.07,2.076,2.159,1.994,1.851,1.838,1.813,1.784,1.7,1.608
OECD Env-Growth,SSP3_v9_130325,ARM,GDP|PPP per capita,Annual Average Growth [%],12.28,3.651,3.831,3.566,2.992,2.512,2.008,1.726,1.409,1.12,0.997,1.089,1.243,1.18,1.101,1.077,1.04,1.032,1.006,0.989
OECD Env-Growth,SSP4_v9_130325,ARM,GDP|PPP per capita,Annual Average Growth [%],12.28,3.651,3.83,3.681,3.576,3.607,3.424,3.161,2.803,2.48,2.273,2.302,2.338,2.146,1.961,1.935,1.897,1.898,1.812,1.722
OECD Env-Growth,SSP5_v9_130325,ARM,GDP|PPP per capita,Annual Average Growth [%],12.28,3.651,3.83,3.961,4.931,5.646,5.651,4.864,4.09,3.409,2.969,2.802,2.731,2.417,2.123,2.089,2.057,2.085,2.136,2.073
IIASA GDP,SSP1_v9_130219,AUS,GDP|PPP per capita,Annual Average Growth [%],,,3.313,2.475,2.422,2.066,1.73,1.429,1.2,1.027,0.932,0.886,0.889,0.87,0.832,0.824,0.832,0.822,0.813,0.824
IIASA GDP,SSP2_v9_130219,AUS,GDP|PPP per capita,Annual Average Growth [%],,,3.377,2.511,2.387,1.969,1.61,1.31,1.086,0.916,0.821,0.775,0.771,0.743,0.705,0.671,0.649,0.637,0.638,0.642
IIASA GDP,SSP3_v9_130219,AUS,GDP|PPP per capita,Annual Average Growth [%],,,2.066,0.436,0.222,0.297,0.45,0.598,0.694,0.731,0.754,0.769,0.793,0.804,0.794,0.776,0.754,0.743,0.743,0.762
IIASA GDP,SSP4_v9_130219,AUS,GDP|PPP per capita,Annual Average Growth [%],,,3.479,2.64,2.488,1.997,1.569,1.272,1.088,0.958,0.879,0.835,0.827,0.809,0.783,0.754,0.725,0.699,0.69,0.691
IIASA GDP,SSP5_v9_130219,AUS,GDP|PPP per capita,Annual Average Growth [%],,,3.232,2.482,2.567,2.402,2.173,1.878,1.618,1.408,1.292,1.24,1.255,1.228,1.173,1.145,1.14,1.13,1.123,1.127
OECD Env-Growth,SSP1_v9_130325,AUS,GDP|PPP per capita,Annual Average Growth [%],2.084,0.932,1.751,1.882,1.616,1.595,1.614,1.521,1.423,1.213,1.11,1.149,1.201,1.206,1.139,1.128,1.116,1.127,1.149,1.154
OECD Env-Growth,SSP2_v9_130325,AUS,GDP|PPP per capita,Annual Average Growth [%],2.084,0.932,1.751,1.846,1.414,1.169,1.045,1.015,1.013,0.899,0.87,0.971,1.064,1.101,1.071,1.06,1.041,1.062,1.115,1.157
OECD Env-Growth,SSP3_v9_130325,AUS,GDP|PPP per capita,Annual Average Growth [%],2.084,0.932,1.751,1.844,1.414,1.062,0.824,0.679,0.598,0.433,0.383,0.504,0.603,0.622,0.567,0.569,0.577,0.641,0.727,0.778
OECD Env-Growth,SSP4_v9_130325,AUS,GDP|PPP per capita,Annual Average Growth [%],2.084,0.932,1.751,1.882,1.686,1.707,1.732,1.643,1.568,1.392,1.293,1.349,1.388,1.366,1.284,1.257,1.218,1.224,1.266,1.277
OECD Env-Growth,SSP5_v9_130325,AUS,GDP|PPP per capita,Annual Average Growth [%],2.084,0.932,1.751,1.894,1.791,2.044,2.194,2.092,1.971,1.745,1.649,1.698,1.782,1.831,1.802,1.77,1.751,1.754,1.769,1.784
IIASA GDP,SSP1_v9_130219,AUT,GDP|PPP per capita,Annual Average Growth [%],,,1.005,0.445,0.489,0.729,0.945,1.105,1.179,1.202,1.209,1.208,1.216,1.204,1.166,1.161,1.21,1.216,1.212,1.219
IIASA GDP,SSP2_v9_130219,AUT,GDP|PPP per capita,Annual Average Growth [%],,,1.037,0.453,0.443,0.633,0.816,0.96,1.03,1.063,1.073,1.073,1.074,1.046,1.016,1.007,1.004,0.992,0.994,1.013
IIASA GDP,SSP3_v9_130219,AUT,GDP|PPP per capita,Annual Average Growth [%],,,0.768,-0.018,-0.07,0.195,0.462,0.703,0.864,0.973,1.035,1.06,1.066,1.064,1.066,1.075,1.07,1.055,1.049,1.055
IIASA GDP,SSP4_v9_130219,AUT,GDP|PPP per capita,Annual Average Growth [%],,,1.117,0.554,0.538,0.665,0.779,0.905,0.998,1.071,1.113,1.122,1.117,1.085,1.054,1.046,1.035,1.007,0.989,0.996
IIASA GDP,SSP5_v9_130219,AUT,GDP|PPP per capita,Annual Average Growth [%],,,0.983,0.518,0.698,1.103,1.448,1.664,1.75,1.756,1.749,1.745,1.772,1.759,1.704,1.668,1.682,1.672,1.662,1.661
OECD Env-Growth,SSP1_v9_130325,AUT,GDP|PPP per capita,Annual Average Growth [%],1.113,1.029,1.782,1.488,1.332,1.379,1.441,1.436,1.33,1.14,1.06,1.056,1.118,1.146,1.14,1.118,1.126,1.137,1.151,1.161
OECD Env-Growth,SSP2_v9_130325,AUT,GDP|PPP per capita,Annual Average Growth [%],1.113,1.029,1.781,1.455,1.226,1.188,1.256,1.378,1.385,1.283,1.261,1.275,1.335,1.321,1.294,1.25,1.209,1.183,1.191,1.223
OECD Env-Growth,SSP3_v9_130325,AUT,GDP|PPP per capita,Annual Average Growth [%],1.113,1.029,1.783,1.397,1.155,1.024,0.969,1.022,0.984,0.853,0.819,0.828,0.873,0.815,0.761,0.727,0.696,0.693,0.705,0.694
OECD Env-Growth,SSP4_v9_130325,AUT,GDP|PPP per capita,Annual Average Growth [%],1.113,1.029,1.781,1.478,1.454,1.535,1.579,1.571,1.48,1.318,1.262,1.265,1.308,1.267,1.222,1.202,1.178,1.181,1.211,1.24
OECD Env-Growth,SSP5_v9_130325,AUT,GDP|PPP per capita,Annual Average Growth [%],1.113,1.029,1.781,1.51,1.568,1.797,1.943,1.924,1.834,1.674,1.623,1.641,1.731,1.795,1.815,1.78,1.765,1.755,1.757,1.779
IIASA GDP,SSP1_v9_130219,AZE,GDP|PPP per capita,Annual Average Growth [%],,,17.504,8.125,2.29,0.687,0.353,0.746,1.083,1.317,1.251,1.217,0.922,0.692,0.522,0.456,0.574,0.778,0.977,1.143
IIASA GDP,SSP2_v9_130219,AZE,GDP|PPP per capita,Annual Average Growth [%],,,18.071,8.301,2.195,0.419,0.162,0.636,1.038,1.301,1.167,1.069,0.742,0.505,0.314,0.207,0.291,0.499,0.753,0.961
IIASA GDP,SSP3_v9_130219,AZE,GDP|PPP per capita,Annual Average Growth [%],,,17.386,7.871,2.047,0.484,0.209,0.641,0.999,1.246,1.117,0.965,0.571,0.266,0.039,-0.066,0.039,0.284,0.564,0.769
IIASA GDP,SSP4_v9_130219,AZE,GDP|PPP per capita,Annual Average Growth [%],,,18.031,8.018,1.694,-0.235,-0.548,-0.068,0.356,0.625,0.517,0.477,0.25,0.117,0,-0.063,0.049,0.284,0.561,0.785
IIASA GDP,SSP5_v9_130219,AZE,GDP|PPP per capita,Annual Average Growth [%],,,17.524,8.232,2.498,1,0.734,1.168,1.526,1.772,1.63,1.593,1.349,1.195,1.08,1.046,1.181,1.391,1.589,1.749
OECD Env-Growth,SSP1_v9_130325,AZE,GDP|PPP per capita,Annual Average Growth [%],12.2,14.859,1.474,2.114,1.461,1.96,1.418,1.763,1.994,1.946,2.015,2.347,2.754,2.704,2.333,2.213,2.151,2.129,2.024,1.823
OECD Env-Growth,SSP2_v9_130325,AZE,GDP|PPP per capita,Annual Average Growth [%],12.2,14.859,1.475,2.008,1.247,1.35,0.399,0.661,1.081,1.357,1.644,2.026,2.398,2.42,2.214,2.166,2.173,2.217,2.201,2.11
OECD Env-Growth,SSP3_v9_130325,AZE,GDP|PPP per capita,Annual Average Growth [%],12.2,14.859,1.473,1.999,1.234,1.225,-0.006,-0.313,-0.37,-0.308,0.012,0.506,0.977,1.08,0.994,1.034,1.094,1.23,1.32,1.339
OECD Env-Growth,SSP4_v9_130325,AZE,GDP|PPP per capita,Annual Average Growth [%],12.2,14.859,1.475,2.05,1.514,1.821,0.948,0.933,1.156,1.393,1.737,2.195,2.588,2.601,2.344,2.299,2.293,2.341,2.334,2.241
OECD Env-Growth,SSP5_v9_130325,AZE,GDP|PPP per capita,Annual Average Growth [%],12.2,14.859,1.475,2.102,1.945,2.807,2.438,2.583,2.771,2.817,2.954,3.251,3.546,3.394,2.988,2.854,2.806,2.797,2.714,2.543
IIASA GDP,SSP1_v9_130219,BDI,GDP|PPP per capita,Annual Average Growth [%],,,1.03,4.983,5.006,4.319,3.926,3.775,3.865,4.249,4.672,5.032,5.165,5.026,4.638,4.161,3.698,3.318,3.462,3.404
IIASA GDP,SSP2_v9_130219,BDI,GDP|PPP per capita,Annual Average Growth [%],,,-0.252,3.601,3.631,3.006,2.44,2.103,2.022,2.295,2.74,3.195,3.506,3.623,3.63,3.585,3.551,3.557,3.557,3.51
IIASA GDP,SSP3_v9_130219,BDI,GDP|PPP per capita,Annual Average Growth [%],,,-1.102,2.376,1.973,1.134,0.402,-0.074,-0.314,-0.185,0.153,0.491,0.691,0.735,0.672,0.63,0.634,0.673,0.716,0.739
IIASA GDP,SSP4_v9_130219,BDI,GDP|PPP per capita,Annual Average Growth [%],,,-1.217,2.541,2.482,2.026,1.52,1.189,1.017,1.182,1.541,1.924,2.168,2.223,2.134,2.059,2.023,2.027,2.041,2.043
IIASA GDP,SSP5_v9_130219,BDI,GDP|PPP per capita,Annual Average Growth [%],,,1.037,5.312,5.75,5.432,5.204,5.084,5.157,5.498,5.857,6.129,6.16,5.903,5.394,4.779,4.208,3.742,3.824,3.711
OECD Env-Growth,SSP1_v9_130325,BDI,GDP|PPP per capita,Annual Average Growth [%],-0.428,1.506,2.676,4.488,6.159,7.789,8.559,8.483,7.98,7.315,6.675,6.13,5.598,5.06,4.503,3.999,3.569,3.228,2.958,2.689
OECD Env-Growth,SSP2_v9_130325,BDI,GDP|PPP per capita,Annual Average Growth [%],-0.428,1.506,2.677,4.241,4.797,5.376,5.493,5.683,5.651,5.511,5.403,5.329,5.199,4.978,4.701,4.409,4.156,3.953,3.757,3.563
OECD Env-Growth,SSP3_v9_130325,BDI,GDP|PPP per capita,Annual Average Growth [%],-0.428,1.506,2.677,4.053,3.579,3.527,3.09,3.084,2.949,2.81,2.805,2.871,2.906,2.863,2.725,2.576,2.459,2.391,2.325,2.243
OECD Env-Growth,SSP4_v9_130325,BDI,GDP|PPP per capita,Annual Average Growth [%],-0.428,1.506,2.677,3.996,3.332,3.046,2.303,2.206,2.028,1.863,1.832,1.874,1.896,1.867,1.757,1.645,1.572,1.551,1.547,1.547
OECD Env-Growth,SSP5_v9_130325,BDI,GDP|PPP per capita,Annual Average Growth [%],-0.428,1.506,2.676,4.649,7.01,9.34,10.27,9.786,8.945,8.035,7.249,6.623,6.05,5.495,4.938,4.433,4.029,3.714,3.467,3.216
IIASA GDP,SSP1_v9_130219,BEL,GDP|PPP per capita,Annual Average Growth [%],,,2.713,3.193,3.557,3.07,2.506,2.006,1.643,1.4,1.258,1.179,1.141,1.122,1.099,1.084,1.092,1.122,1.133,1.136
IIASA GDP,SSP2_v9_130219,BEL,GDP|PPP per capita,Annual Average Growth [%],,,2.782,3.241,3.517,2.956,2.359,1.86,1.505,1.266,1.128,1.052,1.018,0.978,0.947,0.933,0.932,0.935,0.94,0.961
IIASA GDP,SSP3_v9_130219,BEL,GDP|PPP per capita,Annual Average Growth [%],,,0.694,0.001,0.196,0.505,0.736,0.899,0.984,1.021,1.037,1.048,1.053,1.049,1.038,1.026,1.024,1.035,1.047,1.051
IIASA GDP,SSP4_v9_130219,BEL,GDP|PPP per capita,Annual Average Growth [%],,,2.916,3.416,3.66,3.008,2.335,1.834,1.516,1.32,1.209,1.148,1.115,1.077,1.04,1.012,0.992,0.982,0.979,1.004
IIASA GDP,SSP5_v9_130219,BEL,GDP|PPP per capita,Annual Average Growth [%],,,2.683,3.205,3.63,3.24,2.759,2.282,1.903,1.619,1.447,1.359,1.343,1.335,1.308,1.277,1.268,1.285,1.298,1.311
OECD Env-Growth,SSP1_v9_130325,BEL,GDP|PPP per capita,Annual Average Growth [%],1.106,0.609,0.986,1.135,1.345,1.585,1.703,1.616,1.427,1.256,1.195,1.185,1.175,1.142,1.106,1.083,1.074,1.098,1.121,1.126
OECD Env-Growth,SSP2_v9_130325,BEL,GDP|PPP per capita,Annual Average Growth [%],1.106,0.609,0.984,1.139,1.325,1.507,1.626,1.62,1.52,1.416,1.381,1.374,1.357,1.289,1.223,1.184,1.159,1.151,1.158,1.182
OECD Env-Growth,SSP3_v9_130325,BEL,GDP|PPP per capita,Annual Average Growth [%],1.106,0.609,0.986,1.156,1.245,1.315,1.296,1.207,1.053,0.923,0.888,0.897,0.879,0.773,0.679,0.653,0.649,0.677,0.706,0.703
OECD Env-Growth,SSP4_v9_130325,BEL,GDP|PPP per capita,Annual Average Growth [%],1.106,0.609,0.986,1.161,1.459,1.739,1.828,1.73,1.579,1.45,1.413,1.418,1.394,1.291,1.201,1.182,1.178,1.203,1.226,1.254
OECD Env-Growth,SSP5_v9_130325,BEL,GDP|PPP per capita,Annual Average Growth [%],1.106,0.609,0.984,1.157,1.505,1.886,2.09,2.033,1.894,1.768,1.741,1.763,1.797,1.815,1.816,1.793,1.77,1.773,1.779,1.794
IIASA GDP,SSP1_v9_130219,BEN,GDP|PPP per capita,Annual Average Growth [%],,,1.45,2.372,3.428,3.751,3.96,4.119,4.302,4.396,4.294,4.086,3.846,3.614,3.358,3.379,3.297,3.077,2.724,2.383
IIASA GDP,SSP2_v9_130219,BEN,GDP|PPP per capita,Annual Average Growth [%],,,0.682,1.265,2.058,2.316,2.454,2.525,2.659,2.813,2.883,2.889,2.882,2.886,2.873,2.901,2.923,2.925,2.904,2.846
IIASA GDP,SSP3_v9_130219,BEN,GDP|PPP per capita,Annual Average Growth [%],,,0.458,0.753,1.095,0.929,0.85,0.767,0.742,0.748,0.718,0.682,0.651,0.638,0.621,0.611,0.641,0.653,0.692,0.73
IIASA GDP,SSP4_v9_130219,BEN,GDP|PPP per capita,Annual Average Growth [%],,,0.374,0.804,1.356,1.449,1.551,1.608,1.683,1.768,1.795,1.805,1.794,1.775,1.733,1.693,1.694,1.678,1.694,1.71
IIASA GDP,SSP5_v9_130219,BEN,GDP|PPP per capita,Annual Average Growth [%],,,1.471,2.603,3.963,4.575,4.96,5.197,5.392,5.458,5.306,5.037,4.721,4.395,4.034,3.948,3.77,3.469,3.134,3.043
OECD Env-Growth,SSP1_v9_130325,BEN,GDP|PPP per capita,Annual Average Growth [%],0.646,1.084,0.99,2.862,4.538,5.649,6.297,6.546,6.512,6.28,5.915,5.48,4.996,4.513,4.047,3.672,3.339,3.045,2.79,2.549
OECD Env-Growth,SSP2_v9_130325,BEN,GDP|PPP per capita,Annual Average Growth [%],0.646,1.084,0.99,2.324,3.157,3.516,3.665,4.023,4.27,4.426,4.509,4.507,4.433,4.319,4.14,3.989,3.84,3.688,3.537,3.364
OECD Env-Growth,SSP3_v9_130325,BEN,GDP|PPP per capita,Annual Average Growth [%],0.646,1.084,0.991,2.073,2.309,2.137,1.867,2.025,2.149,2.209,2.245,2.265,2.251,2.226,2.172,2.113,2.074,2.011,1.964,1.913
OECD Env-Growth,SSP4_v9_130325,BEN,GDP|PPP per capita,Annual Average Growth [%],0.646,1.084,0.991,2.037,2.124,1.864,1.334,1.371,1.403,1.389,1.374,1.357,1.322,1.296,1.252,1.214,1.206,1.187,1.196,1.213
OECD Env-Growth,SSP5_v9_130325,BEN,GDP|PPP per capita,Annual Average Growth [%],0.646,1.084,0.992,2.926,5.094,6.83,7.765,7.814,7.549,7.121,6.604,6.063,5.515,4.992,4.508,4.125,3.794,3.506,3.261,3.028
IIASA GDP,SSP1_v9_130219,BFA,GDP|PPP per capita,Annual Average Growth [%],,,1.129,1.259,2.193,3.067,3.274,3.719,4.052,4.09,4.274,4.54,4.732,4.724,4.521,4.186,3.784,3.381,3.01,2.688
IIASA GDP,SSP2_v9_130219,BFA,GDP|PPP per capita,Annual Average Growth [%],,,-0.123,-0.197,0.641,1.581,1.744,2.074,2.341,2.691,3.052,3.356,3.536,3.6,3.607,3.563,3.503,3.419,3.427,3.43
IIASA GDP,SSP3_v9_130219,BFA,GDP|PPP per capita,Annual Average Growth [%],,,-0.236,-2.418,-2.19,-1.083,-0.162,1.055,1.452,1.439,1.217,1.079,0.954,0.859,0.789,0.718,0.67,0.657,0.652,0.68
IIASA GDP,SSP4_v9_130219,BFA,GDP|PPP per capita,Annual Average Growth [%],,,-1.147,-3.621,-3.147,-1.35,0.185,1.207,1.756,2.018,2.142,2.195,2.193,2.173,2.173,2.168,2.165,2.162,2.151,2.155
IIASA GDP,SSP5_v9_130219,BFA,GDP|PPP per capita,Annual Average Growth [%],,,1.166,1.501,2.738,3.907,4.335,4.924,5.318,5.366,5.507,5.693,5.763,5.626,5.293,4.836,4.326,3.832,3.384,3.083
OECD Env-Growth,SSP1_v9_130325,BFA,GDP|PPP per capita,Annual Average Growth [%],3.5,2.307,3.299,4.14,5.342,6.122,6.444,6.415,6.222,5.949,5.579,5.156,4.698,4.255,3.833,3.489,3.179,2.894,2.643,2.405
